,genre_ids
0,"['Animation', 'Family', 'Adventure', 'Comedy']"
1,"['Action', 'Crime', 'Thriller', 'Comedy']"
2,"['Animation', 'Family', 'Comedy', 'Action']"
3,"['Science Fiction', 'Action', 'Comedy']"
4,"['Animation', 'Comedy', 'Family', 'Adventure']"
5,"['Animation', 'Science Fiction', 'Action']"
6,"['Thriller', 'Drama', 'Action', 'Crime']"
7,"['Action', 'Adventure', 'Science Fiction']"
8,"['Fantasy', 'Adventure', 'Family', 'Comedy']"
9,"['Science Fiction', 'Adventure', 'Action']"
10,"['Fantasy', 'Adventure']"
11,"['Action', 'Comedy', 'Crime']"
12,"['Horror', 'Thriller']"
13,"['Action', 'Thriller']"
14,"['Action', 'Comedy']"
15,"['Action', 'Drama', 'Horror', 'Thriller']"
16,"['Action', 'Science Fiction', 'Horror', 'Thriller']"
17,"['Science Fiction', 'Action', 'Adventure']"
18,"['Horror', 'Thriller']"
19,"['Action', 'Thriller']"
20,"['Horror', 'Thriller']"
21,"['Action', 'Drama', 'Thriller']"
22,"['Horror', 'Science Fiction', 'Thriller']"
23,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']"
24,"['Drama', 'Romance', 'Comedy']"
25,['Action']
26,"['Action', 'Comedy', 'Adventure']"
27,"['Animation', 'Adventure', 'Comedy', 'Action', 'Family']"
28,"['Action', 'Adventure', 'Comedy']"
29,"['War', 'Action', 'Drama']"
30,"['Action', 'Adventure', 'Drama']"
31,"['Comedy', 'Action']"
32,['Horror']
33,"['Action', 'Crime', 'Comedy', 'Thriller']"
34,"['Animation', 'Family', 'Fantasy']"
35,"['Action', 'Comedy']"
36,"['Action', 'Adventure', 'War']"
37,['Horror']
38,['Action']
39,"['Action', 'Adventure', 'Thriller', 'Crime']"
40,"['Horror', 'Thriller']"
41,"['Adventure', 'Family']"
42,"['Romance', 'Comedy', 'Music']"
43,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']"
44,"['Comedy', 'Fantasy', 'Family']"
45,"['Drama', 'Romance']"
46,"['Animation', 'Adventure', 'Action', 'Fantasy', 'Family']"
47,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']"
48,"['Science Fiction', 'Action']"
49,"['Drama', 'Western']"
50,"['Drama', 'TV Movie']"
51,['Horror']
52,"['Fantasy', 'Mystery', 'Thriller', 'Horror']"
53,"['Mystery', 'Horror', 'Thriller']"
54,"['Science Fiction', 'Adventure']"
55,"['Science Fiction', 'Horror', 'Action']"
56,"['Action', 'Adventure', 'Crime']"
57,"['Thriller', 'Action', 'Crime']"
58,['Horror']
59,"['Animation', 'Science Fiction', 'Family', 'Action']"
60,"['Thriller', 'Horror', 'Action']"
61,"['Horror', 'Mystery', 'Thriller']"
62,"['Animation', 'Comedy']"
63,"['Comedy', 'Animation']"
64,"['Drama', 'History']"
65,"['Horror', 'Drama', 'Mystery']"
66,"['Animation', 'Family', 'Fantasy', 'Adventure']"
67,"['Animation', 'Family', 'Fantasy']"
68,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']"
69,"['Fantasy', 'Adventure', 'Family']"
70,"['Adventure', 'Action', 'Science Fiction']"
71,"['Comedy', 'Family', 'Fantasy']"
72,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']"
73,"['Family', 'Music', 'Adventure', 'Comedy', 'Fantasy', 'TV Movie']"
74,"['Animation', 'Science Fiction', 'Action']"
75,"['Romance', 'Comedy']"
76,"['Animation', 'Science Fiction', 'Action']"
77,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']"
78,"['Action', 'Thriller']"
79,['War']
80,"['Action', 'Comedy', 'Crime', 'Thriller']"
81,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']"
82,"['Animation', 'Action', 'Adventure', 'Science Fiction']"
83,"['Action', 'Fantasy']"
84,"['Science Fiction', 'Adventure']"
85,"['Action', 'Crime', 'Thriller']"
86,"['Family', 'Animation', 'Comedy']"
87,"['Science Fiction', 'Action', 'Adventure']"
88,"['Adventure', 'Fantasy', 'Action']"
89,"['Action', 'Thriller', 'Crime']"
90,"['Animation', 'Action', 'Mystery', 'Fantasy', 'Comedy', 'Drama', 'Horror']"
91,"['Animation', 'Adventure', 'Fantasy']"
92,"['Horror', 'Thriller']"
93,"['Family', 'TV Movie', 'Adventure', 'Fantasy']"
94,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
95,"['Crime', 'Romance', 'Thriller']"
96,"['Animation', 'Fantasy', 'Family']"
97,"['Science Fiction', 'Action']"
98,['Horror']
99,"['Action', 'Adventure', 'Comedy']"
100,"['Animation', 'Science Fiction', 'Action']"
101,"['Fantasy', 'Adventure', 'Comedy']"
102,['Drama']
103,"['Adventure', 'Fantasy']"
104,"['Fantasy', 'Action', 'Adventure']"
105,"['Animation', 'Adventure', 'Fantasy']"
106,['Action']
107,"['Family', 'TV Movie', 'Adventure', 'Fantasy']"
108,"['Crime', 'Romance', 'Thriller']"
109,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
110,"['Action', 'Crime', 'Mystery', 'Thriller']"
111,"['Action', 'Adventure', 'Science Fiction']"
112,"['Drama', 'Romance']"
113,"['Animation', 'Drama']"
114,"['Action', 'Science Fiction']"
115,"['Crime', 'Horror', 'Thriller']"
116,"['Animation', 'Comedy', 'Science Fiction']"
117,['Horror']
118,"['Science Fiction', 'Adventure']"
119,"['Science Fiction', 'Comedy']"
